species,site,Leaf_area,Lwratio,SLA,SD,SPI,MAP,MAT,ratio
1,1,0.958,6.2113,95.8,38.88888889,0.107869136,429,16.7,90
1,1,6.8,12.0129,46.575,40.74074074,0.179263786,429,16.7,90
1,1,3.75,13.4585,57.692,40.74074074,0.170368724,429,16.7,90
1,1,5.157,9.5327,50.559,42.59259259,0.179953704,429,16.7,90
1,1,3.933,11.8439,57.838,44.44444444,0.1764,429,16.7,90
1,1,3.705,13.0176,58.81,46.2962963,0.207824074,429,16.7,90
1,1,4.446,13.1781,51.698,48.14814815,0.197214815,429,16.7,90
1,1,3.696,11.846,57.75,50,0.1922,429,16.7,90
1,1,6.217,13.1327,62.798,51.85185185,0.210178601,429,16.7,90
2,1,4.909,16.9594,45.879,27.77777778,0.116160494,224,13.7,19
2,1,3.167,13.6907,67.383,37.03703704,0.100148148,224,13.7,19
2,1,4.543,16.7236,52.826,37.03703704,0.128925926,224,13.7,19
2,1,3.034,11.4322,52.31,40.74074074,0.159993416,224,13.7,19
2,1,3.036,13.9967,69,42.59259259,0.146594239,224,13.7,19
2,1,4.227,10.1859,48.586,44.44444444,0.191649383,224,13.7,19
2,1,2.485,13.4276,56.477,44.44444444,0.16,224,13.7,19
2,1,3.738,12.1049,47.923,44.44444444,0.134444444,224,13.7,19
2,1,3.346,13.7484,48.493,51.85185185,0.094393416,224,13.7,19
2,1,2.497,13.8658,58.07,53.7037037,0.111996091,224,13.7,19
2,1,2.481,12.4629,59.071,55.55555556,0.154098765,224,13.7,19
2,1,3.125,10.3543,80.128,55.55555556,0.174222222,224,13.7,19
3,1,6.083,8.0576,46.792,27.77777778,0.105632716,472,17.6,18
3,1,3.698,12.4792,55.194,48.14814815,0.205517695,472,17.6,18
3,1,4.463,14.1664,42.913,50,0.160555556,472,17.6,18
3,1,3.847,10.2305,40.073,51.85185185,0.20146749,472,17.6,18
3,1,5.348,10.6218,45.322,53.7037037,0.210900412,472,17.6,18
3,1,5.008,10.1769,50.08,53.7037037,0.17244856,472,17.6,18
3,1,4.209,11.6255,45.258,53.7037037,0.184836214,472,17.6,18
3,1,6.237,12.078,52.412,55.55555556,0.186888889,472,17.6,18
3,1,3.368,10.6917,52.625,61.11111111,0.12375,472,17.6,18
3,1,5.911,12.7841,51.851,61.11111111,0.245123457,472,17.6,18
3,1,4.358,12.3478,53.802,62.96296296,0.17909465,472,17.6,18
3,1,4.608,11.4549,49.021,68.51851852,0.192468519,472,17.6,18
4,1,4.287,8.7169,57.932,29.62962963,0.141066667,283,14.4,59
4,1,2.26,11.839,64.571,37.03703704,0.110683128,283,14.4,59
4,1,5.227,10.9387,52.798,40.74074074,0.154927984,283,14.4,59
4,1,3.987,10.0181,50.468,42.59259259,0.131984979,283,14.4,59
4,1,3.227,8.9962,50.422,42.59259259,0.140006584,283,14.4,59
4,1,3.664,12.7119,65.429,44.44444444,0.239012346,283,14.4,59
4,1,3.189,11.1833,55.947,44.44444444,0.109634568,283,14.4,59
4,1,3.685,7.528,50.479,46.2962963,0.136671811,283,14.4,59
4,1,4.536,13.9086,49.304,50,0.202672222,283,14.4,59
4,1,3.003,9.0074,63.894,53.7037037,0.1566,283,14.4,59
4,1,3.023,10.6276,60.46,53.7037037,0.197653498,283,14.4,59
4,1,2.412,11.2128,104.87,61.11111111,0.077740123,283,14.4,59
5,1,5.979,8.0227,60.394,38.88888889,0.179822222,476,16.9,51
5,1,4.364,12.7941,58.187,38.88888889,0.14,476,16.9,51
5,1,2.926,11.0706,65.022,42.59259259,0.135165226,476,16.9,51
5,1,5.845,12.2856,60.885,44.44444444,0.213649383,476,16.9,51
5,1,4.377,8.0675,48.099,46.2962963,0.155740741,476,16.9,51
5,1,5.83,8.0894,50.259,48.14814815,0.150992593,476,16.9,51
5,1,5.137,9.1012,50.363,48.14814815,0.209733333,476,16.9,51
5,1,3.029,16.8752,36.06,53.7037037,0.25321893,476,16.9,51
5,1,4.605,6.5058,50.054,53.7037037,0.17244856,476,16.9,51
5,1,5.33,8.224,54.388,55.55555556,0.1805,476,16.9,51
5,1,3.127,7.9253,45.985,62.96296296,0.206966255,476,16.9,51
5,1,4.039,9.6607,54.581,62.96296296,0.176862963,476,16.9,51
6,1,2.952,9.3573,50.897,35.18518519,0.105148971,575,11.5,17
6,1,3.574,9.4199,48.297,35.18518519,0.145623663,575,11.5,17
6,1,3.028,10.9421,48.839,42.59259259,0.138383333,575,11.5,17
6,1,3.255,8.6267,55.169,48.14814815,0.1404,575,11.5,17
6,1,3.243,11.9282,54.05,50,0.1352,575,11.5,17
6,1,3.396,9.3594,56.6,51.85185185,0.109718519,575,11.5,17
6,1,3.136,12.0163,46.118,59.25925926,0.206281481,575,11.5,17
6,1,4.22,10.4525,51.463,62.96296296,0.211807407,575,11.5,17
6,1,3.132,10.8505,45.391,64.81481481,0.19844856,575,11.5,17
6,1,2.613,9.7537,50.25,64.81481481,0.15562037,575,11.5,17
7,1,4.709,11.1756,47.566,38.88888889,0.151100617,894,14.2,44
7,1,4.247,10.129,52.432,40.74074074,0.149944033,894,14.2,44
7,1,4.099,14.3475,66.113,44.44444444,0.131204938,894,14.2,44
7,1,4.3,12.5948,46.739,46.2962963,0.153955761,894,14.2,44
7,1,5.187,10.3916,43.588,46.2962963,0.170390947,894,14.2,44
7,1,5.721,9.5713,48.483,46.2962963,0.172268519,894,14.2,44
7,1,3.743,10.4626,50.581,48.14814815,0.1404,894,14.2,44
7,1,5.916,9.8061,46.952,48.14814815,0.179159259,894,14.2,44
7,1,3.825,14.6806,54.643,53.7037037,0.139683333,894,14.2,44
7,1,3.795,10.6405,51.284,59.25925926,0.188055967,894,14.2,44
7,1,3.804,9.7177,46.963,61.11111111,0.189369753,894,14.2,44
8,1,4.358,15.202,53.802,37.03703704,0.150127572,545,17,91
8,1,2.768,15.4344,69.2,37.96296296,0.157935417,545,17,91
8,1,1.945,17.0456,77.8,37.96296296,0.173823971,545,17,91
8,1,3.514,21.1206,44.481,39.81481481,0.167356044,545,17,91
8,1,2.918,11.8136,45.594,40.74074074,0.151596296,545,17,91
8,1,2.197,13.2461,57.816,41.66666667,0.148337963,545,17,91
8,1,2.685,16.4881,50.66,42.59259259,0.183663992,545,17,91
8,1,1.699,14.1186,56.633,42.59259259,0.176281276,545,17,91
8,1,4.116,17.9021,47.31,42.59259259,0.215718467,545,17,91
8,1,4.093,15.3313,51.81,44.44444444,0.147797531,545,17,91
8,1,3.004,18.9606,56.679,44.44444444,0.140208642,545,17,91
8,1,2.749,19.3478,53.902,47.22222222,0.198492052,545,17,91
8,1,3.484,10.7872,54.438,48.14814815,0.199274486,545,17,91
8,1,3.109,13.8023,52.695,48.14814815,0.16197037,545,17,91
8,1,3.852,16.4613,44.791,50,0.215605556,545,17,91
8,1,3.279,14.0766,63.058,50,0.2048,545,17,91
8,1,3.094,14.0381,45.5,54.62962963,0.21797374,545,17,91
8,1,2.246,19.167,64.171,55.55555556,0.227555556,545,17,91
9,1,4.774,7.1665,67.239,37.03703704,0.123164609,580,17.2,104
9,1,4.742,9.6748,51.543,40.74074074,0.165140329,580,17.2,104
9,1,4.853,9.5037,48.05,42.59259259,0.1416393,580,17.2,104
9,1,4.992,7.4747,50.939,42.59259259,0.189300412,580,17.2,104
9,1,3.509,10.3617,47.419,44.44444444,0.170844444,580,17.2,104
9,1,4.67,10.2338,49.681,46.2962963,0.1818107,580,17.2,104
9,1,2.86,8.2349,81.714,46.2962963,0.179881687,580,17.2,104
9,1,3.716,12.0706,58.984,48.14814815,0.0975,580,17.2,104
9,1,4.304,9.0547,56.632,48.14814815,0.177206584,580,17.2,104
9,1,5.14,9.5133,64.25,50,0.182005556,580,17.2,104
9,1,5.337,6.2629,54.459,53.7037037,0.1566,580,17.2,104
10,1,5.726,9.3754,52.055,31.48148148,0.14557037,746,15.6,55
10,1,8.101,8.2447,47.653,37.03703704,0.170420782,746,15.6,55
10,1,4.742,9.5484,51.543,37.03703704,0.120333333,746,15.6,55
10,1,3.775,10.5383,66.228,41.66666667,0.168010417,746,15.6,55
10,1,6.009,8.5733,55.128,43.51851852,0.21527644,746,15.6,55
10,1,3.825,10.333,54.643,45.37037037,0.183906276,746,15.6,55
10,1,5.539,5.835,53.26,46.2962963,0.191610082,746,15.6,55
10,1,4.982,10.5801,62.275,48.14814815,0.169502881,746,15.6,55
10,1,5.668,10.4343,50.159,48.14814815,0.21079393,746,15.6,55
10,1,2.976,11.2345,67.636,50,0.158672222,746,15.6,55
10,1,6.114,8.4363,56.611,50,0.2048,746,15.6,55
10,1,4.034,12.5997,56.817,50,0.152168056,746,15.6,55
10,1,4.886,10.5192,59.585,50,0.233472222,746,15.6,55
10,1,3.671,8.1165,48.947,50.92592593,0.209680427,746,15.6,55
10,1,4.671,9.3067,56.963,51.85185185,0.1512,746,15.6,55
10,1,5.909,9.5984,47.272,55.55555556,0.232320988,746,15.6,55
10,1,5.456,9.3531,47.034,57.40740741,0.208969342,746,15.6,55
10,1,3.666,7.3612,54.716,59.25925926,0.2352,746,15.6,55
10,1,4.504,9.6123,59.263,62.96296296,0.209379835,746,15.6,55
11,1,3.193,16.4233,42.573,25.92592593,0.101813992,348,16.1,42
11,1,1.747,15.7968,60.241,33.33333333,0.128133333,348,16.1,42
11,1,1.363,14.1504,41.303,38.88888889,0.146291358,348,16.1,42
11,1,2.38,12.7051,52.889,38.88888889,0.135372222,348,16.1,42
11,1,2.76,16.7016,53.077,40.74074074,0.163415638,348,16.1,42
11,1,3.095,17.7338,52.458,46.2962963,0.164819959,348,16.1,42
11,1,3.32,20.2747,46.111,48.14814815,0.118770782,348,16.1,42
11,1,3.191,21.1822,43.122,48.14814815,0.173333333,348,16.1,42
11,1,1.958,18.1484,48.95,51.85185185,0.133109465,348,16.1,42
11,1,2.676,16.9727,53.52,53.7037037,0.143359053,348,16.1,42
11,1,3.042,13.4748,51.559,55.55555556,0.168055556,348,16.1,42
12,1,2.74,10.0904,65.238,44.44444444,0.131204938,580,18.2,105
12,1,4.444,13.3625,57.714,46.2962963,0.157536008,580,18.2,105
12,1,1.622,9.4601,85.368,46.2962963,0.150416667,580,18.2,105
12,1,2.411,12.3857,52.413,50,0.12005,580,18.2,105
12,1,4.167,14.6533,45.791,55.55555556,0.138888889,580,18.2,105
12,1,3.102,11.9168,54.421,55.55555556,0.154098765,580,18.2,105
12,1,1.955,12.83,63.065,57.40740741,0.173657407,580,18.2,105
12,1,2.965,11.1159,60.51020408,59.25925926,0.142281481,580,18.2,105
12,1,3.871,11.9972,61.444,59.25925926,0.263374486,580,18.2,105
12,1,3.531,12.0536,53.5,62.77777778,0.117882716,580,18.2,105
13,1,4.645,14.9419,56.646,37.03703704,0.154880658,294,16,19
13,1,3.063,15.9609,51.05,40.74074074,0.205374074,294,16,19
13,1,2.141,17.1891,52.22,44.44444444,0.128004938,294,16,19
13,1,4.348,12.9563,43.919,48.14814815,0.171412757,294,16,19
13,1,3.978,17.176,49.725,50,0.235755556,294,16,19
13,1,3.392,10.5436,62.815,50,0.123338889,294,16,19
13,1,3.265,14.6112,57.281,51.85185185,0.210178601,294,16,19
13,1,3.835,12.8363,54.014,55.55555556,0.178395062,294,16,19
13,1,3.659,15.5172,55.439,55.55555556,0.213555556,294,16,19
13,1,2.662,19.7221,54.327,62.96296296,0.188161317,294,16,19
13,1,2.959,17.269,48.508,74.07407407,0.213341564,294,16,19
14,1,5.841,11.156,58.41,37.03703704,0.154880658,409,17.3,42
14,1,6.452,7.0144,52.032,37.03703704,0.20099177,409,17.3,42
14,1,5.029,10.2023,67.959,39.81481481,0.203543287,409,17.3,42
14,1,4.722,7.4542,56.892,42.59259259,0.250349794,409,17.3,42
14,1,5.332,9.1534,45.573,44.44444444,0.179211111,409,17.3,42
14,1,4.531,10.6127,49.791,44.44444444,0.2601,409,17.3,42
14,1,4.206,6.9509,53.923,48.14814815,0.198243313,409,17.3,42
14,1,4.648,9.7773,52.818,48.14814815,0.145648148,409,17.3,42
14,1,3.717,9.2571,52.352,51.85185185,0.180496296,409,17.3,42
14,1,5.621,9.8997,46.074,52.77777778,0.232228086,409,17.3,42
14,1,3.766,11.1684,61.738,53.7037037,0.161470628,409,17.3,42
14,1,4.838,9.8146,48.38,53.7037037,0.191191152,409,17.3,42
14,1,6.071,9.0445,52.791,53.7037037,0.27072037,409,17.3,42
14,1,3.968,13.0692,53.622,55.55555556,0.254376543,409,17.3,42
14,1,4.129,11.7672,56.562,57.40740741,0.275963786,409,17.3,42
14,1,3.592,8.1728,57.016,57.40740741,0.149316667,409,17.3,42
14,1,6.542,8.8327,47.752,57.40740741,0.205520113,409,17.3,42
14,1,6.664,8.2364,52.063,62.03703704,0.223333333,409,17.3,42
14,1,3.617,9.7912,53.191,62.96296296,0.14912428,409,17.3,42
14,1,5.526,8.5099,54.176,64.81481481,0.22562037,409,17.3,42
15,1,3.609,10.7191,52.304,51.85185185,0.133109465,544,17.2,25
15,1,2.562,10.6639,59.581,51.85185185,0.166502058,544,17.2,25
15,1,2.909,12.382,52.891,55.55555556,0.227555556,544,17.2,25
15,1,3.552,9.6483,61.241,55.55555556,0.215858025,544,17.2,25
15,1,4.546,10.1955,53.482,57.40740741,0.169473045,544,17.2,25
15,1,2.444,10.4051,35.42,59.25925926,0.192533333,544,17.2,25
15,1,4.174,10.5587,57.178,59.25925926,0.213333333,544,17.2,25
15,1,4.106,10.8617,53.325,61.11111111,0.222451235,544,17.2,25
15,1,3.981,12.1144,56.871,62.96296296,0.176862963,544,17.2,25
15,1,3.304,8.9691,57.965,64.81481481,0.179781893,544,17.2,25
15,1,3.763,10.7238,57.892,68.51851852,0.182906379,544,17.2,25
15,1,1.618,7.2951,77.048,70.37037037,0.155448148,544,17.2,25
16,1,4.174,12.9825,47.432,25.92592593,0.161803704,425,16.7,35
16,1,2.165,8.9295,51.548,31.48148148,0.12495,425,16.7,35
16,1,6.106,12.7728,52.638,40.74074074,0.235318519,425,16.7,35
16,1,4.981,12.514,73.25,44.44444444,0.156464198,425,16.7,35
16,1,3.746,17.2981,47.418,44.44444444,0.2304,425,16.7,35
16,1,5.817,16.7119,50.583,46.2962963,0.22255144,425,16.7,35
16,1,3.753,15.4443,48.74,50,0.16245,425,16.7,35
16,1,3.802,13.4631,52.082,50,0.22445,425,16.7,35
16,1,4.039,14.132,53.853,59.25925926,0.203957202,425,16.7,35
16,1,4.398,13.5,54.975,66.66666667,0.253518519,425,16.7,35
16,1,4.251,8.5202,51.217,68.51851852,0.263385185,425,16.7,35
17,1,2.703,13.8579,61.432,31.48148148,0.14557037,744,13.7,92
17,1,3.252,9.7319,55.119,33.33333333,0.154133333,744,13.7,92
17,1,2.481,10.3651,80.032,35.18518519,0.12247963,744,13.7,92
17,1,3.256,13.6726,55.186,37.03703704,0.159707819,744,13.7,92
17,1,3.206,9.9144,60.491,46.2962963,0.130046296,744,13.7,92
17,1,2.818,10.4474,55.255,46.2962963,0.140046296,744,13.7,92
17,1,4.047,9.2958,62.262,46.2962963,0.203708848,744,13.7,92
17,1,5.209,11.9537,48.682,53.7037037,0.184836214,744,13.7,92
17,1,3.248,10.072,56.982,55.55555556,0.202228395,744,13.7,92
17,1,3.788,9.602,50.507,57.40740741,0.223053292,744,13.7,92
17,1,2.065,10.0016,55.811,59.25925926,0.12,744,13.7,92
18,1,2.91,9.937,54.906,35.18518519,0.114316667,487,14.1,62
18,1,4.841,9.5571,47,37.03703704,0.169584362,487,14.1,62
18,1,6.37,7.9942,46.838,40.74074074,0.182885185,487,14.1,62
18,1,3.952,10.3355,52.693,42.59259259,0.112236214,487,14.1,62
18,1,4.93,10.7397,62.405,42.59259259,0.229053498,487,14.1,62
18,1,4.286,9.2242,57.147,46.2962963,0.159341564,487,14.1,62
18,1,4.796,8.6809,60.709,48.14814815,0.173333333,487,14.1,62
18,1,2.855,10.6688,71.375,55.55555556,0.191209877,487,14.1,62
18,1,2.882,7.8705,50.561,62.96296296,0.176862963,487,14.1,62
18,1,3.512,8.6382,54.031,64.81481481,0.18436214,487,14.1,62
19,1,5.306,10.9121,46.956,27.77777778,0.127188272,394,17.5,9
19,1,3.25,8.5848,79.268,35.18518519,0.093924897,394,17.5,9
19,1,4.615,10.9751,50.714,40.74074074,0.120271193,394,17.5,9
19,1,4.347,11.2918,44.814,42.59259259,0.125738066,394,17.5,9
19,1,4.846,8.4503,59.098,46.2962963,0.131687243,394,17.5,9
19,1,3.625,16.0017,54.104,51.85185185,0.168466667,394,17.5,9
19,1,2.764,10.9844,64.279,51.85185185,0.145651852,394,17.5,9
19,1,4.747,9.9125,55.847,53.7037037,0.17244856,394,17.5,9
19,1,1.944,7.9115,69.429,55.55555556,0.213555556,394,17.5,9
19,1,3.544,10.4116,50.629,61.11111111,0.12375,394,17.5,9
19,1,1.884,11.0565,55.412,62.96296296,0.176862963,394,17.5,9
